status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date,year
for_sale,384999.0,3.0,3.0,0.1,"192 Applegate Ln, East Brunswick, NJ, 08816",192 Applegate Ln,East Brunswick,New Jersey,8816.0,1584.0,2018-07-25,2018
for_sale,445000.0,3.0,2.0,0.23,"11 Avon Ter, Old Bridge, NJ, 08857",11 Avon Ter,Old Bridge,New Jersey,8857.0,1085.0,2019-08-12,2019
for_sale,549000.0,2.0,2.0,0.03,"20 Phyllis Ct, Staten Island, NY, 10309",20 Phyllis Ct,Staten Island,New York,10309.0,1600.0,2013-07-05,2013
for_sale,659000.0,3.0,2.0,0.05,"254 Elverton Ave, New York City, NY, 10308",254 Elverton Ave,New York City,New York,10308.0,1424.0,2003-12-08,2003
for_sale,419900.0,2.0,2.0,0.18,"62 W Amherst St, East Brunswick, NJ, 08816",62 W Amherst St,East Brunswick,New Jersey,8816.0,1268.0,2018-08-16,2018
for_sale,600000.0,3.0,4.0,0.03,"2 Fleet St, North Brunswick, NJ, 08902",2 Fleet St,North Brunswick,New Jersey,8902.0,2703.0,2017-01-20,2017
for_sale,425000.0,3.0,2.0,0.31,"169 Dunhams Corner Rd, East Brunswick, NJ, 08816",169 Dunhams Corner Rd,East Brunswick,New Jersey,8816.0,1336.0,2000-01-07,2000
for_sale,480000.0,4.0,2.0,0.17,"4 Norwood Ave, Monroe, NJ, 08831",4 Norwood Ave,Monroe,New Jersey,8831.0,1908.0,2012-03-09,2012
for_sale,420000.0,3.0,4.0,0.02,"363 Federal Ct, Perth Amboy, NJ, 08861",363 Federal Ct,Perth Amboy,New Jersey,8861.0,2292.0,2008-01-09,2008
for_sale,729000.0,3.0,4.0,0.04,"5194 Hylan Blvd, Staten Island, NY, 10312",5194 Hylan Blvd,Staten Island,New York,10312.0,1764.0,2014-06-17,2014
for_sale,1098000.0,6.0,4.0,0.14,"615 W Fingerboard Rd, Staten Island, NY, 10305",615 W Fingerboard Rd,Staten Island,New York,10305.0,2592.0,2017-08-04,2017
for_sale,385000.0,3.0,2.0,0.23,"979 S Concourse, Keyport, NJ, 07735",979 S Concourse,Keyport,New Jersey,7735.0,1406.0,2017-09-27,2017
for_sale,375000.0,2.0,3.0,0.02,"262 Shady Oak Ct, Piscataway, NJ, 08854",262 Shady Oak Ct,Piscataway,New Jersey,8854.0,1432.0,2005-09-20,2005
for_sale,329900.0,3.0,1.0,0.05,"398 Lawrence St, Perth Amboy, NJ, 08861",398 Lawrence St,Perth Amboy,New Jersey,8861.0,1112.0,2005-09-23,2005
for_sale,350000.0,2.0,3.0,0.04,"266 Moonlight Dr, Piscataway, NJ, 08854",266 Moonlight Dr,Piscataway,New Jersey,8854.0,1692.0,2006-12-26,2006
for_sale,889900.0,5.0,4.0,0.46,"55 Bonnie Dr, Manalapan, NJ, 07726",55 Bonnie Dr,Manalapan,New Jersey,7726.0,3000.0,2012-08-23,2012
for_sale,585000.0,3.0,3.0,0.19,"33 Emily Dr, Old Bridge, NJ, 08857",33 Emily Dr,Old Bridge,New Jersey,8857.0,1904.0,2005-02-04,2005
for_sale,688000.0,3.0,1.0,0.09,"478 Falcon Ave, Staten Island, NY, 10306",478 Falcon Ave,Staten Island,New York,10306.0,1008.0,2018-12-03,2018
for_sale,499900.0,3.0,3.0,0.05,"14 Tudor Dr, Somerset, NJ, 08873",14 Tudor Dr,Somerset,New Jersey,8873.0,2016.0,2014-07-14,2014
for_sale,799888.0,3.0,2.0,0.09,"158 Mann Ave, New York City, NY, 10314",158 Mann Ave,New York City,New York,10314.0,2430.0,2015-01-15,2015
for_sale,356000.0,1.0,1.0,0.02,"5 Windham Loop Apt 4L, Staten Island, NY, 10314",5 Windham Loop Apt 4L,Staten Island,New York,10314.0,699.0,2021-05-12,2021
for_sale,628000.0,3.0,2.0,0.09,"32 Morris St, Staten Island, NY, 10309",32 Morris St,Staten Island,New York,10309.0,908.0,2015-09-10,2015
for_sale,539900.0,2.0,2.0,0.03,"3843 Amboy Rd Apt 3B, Staten Island, NY, 10308",3843 Amboy Rd Apt 3B,Staten Island,New York,10308.0,1123.0,2021-05-26,2021
for_sale,599000.0,3.0,3.0,0.06,"422 Preston Ave, Staten Island, NY, 10312",422 Preston Ave,Staten Island,New York,10312.0,1184.0,2015-06-01,2015
